Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
144086081,A Man's Place,Annie Ernaux,"Ernaux, Annie","Tanya Leslie, Francine Prose","=""1609804031""","=""9781609804039""",0,3.87,Seven Stories Press,Paperback,96,2023,1983,2023/06/08,2023/06/07,,,read,,,,1,0
29544056,"Aspekte neu B2: Lehr- und Arbeitsbuch mit Audio-CD, Teil 2",Ute Koithan,"Koithan, Ute","Helen Schmitz, Tanja Sieber, Ralf Sonntag, Ralf-Peter Lösche, Ulrike Moritz","=""312605028X""","=""9783126050289""",0,4.56,Klett,Paperback,192,2015,,,2023/06/07,currently-reading,currently-reading (#1),currently-reading,,,,1,0
4631,A Moveable Feast,Ernest Hemingway,"Hemingway, Ernest",James Naughton,"=""""","=""""",0,4.02,Vintage,Paperback,192,2012,1964,2023/06/07,2016/11/20,,,read,,,,1,0
88077,The Magic Mountain,Thomas Mann,"Mann, Thomas",John E. Woods,"=""""","=""9780593688137""",0,4.13,Vintage,Kindle Edition,706,1996,1924,2023/06/03,2015/06/08,,,read,,,,1,0
29421,Layer Cake,J.J. Connolly,"Connolly, J.J.",,"=""0802141684""","=""9780802141682""",0,4.09,"Grove Press, Black Cat",Paperback,344,2004,2000,,2023/05/29,to-read,to-read (#660),to-read,,,,0,0
54621094,The Last House on Needless Street,Catriona Ward,"Ward, Catriona",,"=""1788166167""","=""9781788166164""",0,3.81,Viper,Hardcover,337,2021,2021,,2023/05/29,to-read,to-read (#659),to-read,,,,0,0
88389,The Discovery of Heaven,Harry Mulisch,"Mulisch, Harry",Paul Vincent,"=""""","=""""",0,4.17,Penguin Books,Paperback,730,1998,1992,,2023/05/28,to-read,to-read (#658),to-read,,,,0,0
944076,"Last Argument of Kings (The First Law, #3)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575077905""","=""9780575077904""",0,4.37,Gollancz,Trade Paperback,536,2008,2008,2023/05/27,2023/05/16,,,read,,,,1,0
52221187,Spektrum Deutsch: Lehrerhandbuch B1 + CD-Rom (German Edition),Anne Buscha,"Buscha, Anne",Szilvia Szita,"=""394132344X""","=""9783941323445""",0,0.0,Schubert-Verlag Verlag fur Fachliteratur Inhaber: Dr. Harald Schubert,Paperback,0,2019,,2023/05/18,2023/05/08,,,read,,,,1,0
231804,The Outsiders,S.E. Hinton,"Hinton, S.E.",,"=""0670532576""","=""9780670532575""",0,4.15,Puffin Books (US/CAN),Mass Market Paperback,208,1997,1967,2023/05/18,2023/05/06,,,read,,,,1,0
30302414,Miasto Archipelag. Polska mniejszych miast,Filip Springer,"Springer, Filip",,"=""8365271206""","=""9788365271204""",0,4.02,Karakter,Paperback,320,2016,2016,2023/05/17,2021/04/11,,,read,,,,1,0
53061,Death in Venice,Thomas Mann,"Mann, Thomas","Michael Henry Heim, Michael Cunningham","=""0060576170""","=""9780060576172""",3,3.68,Ecco,Paperback,142,2005,1911,,2015/08/19,,,read,,,,1,0
902715,"Before They Are Hanged (The First Law, #2)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575077883""","=""9780575077881""",0,4.36,Gollancz,Trade Paperback,441,2007,2007,2023/05/15,2023/05/08,,,read,,,,1,0
25893772,Ernest Hemingway: The Last Interview and Other Conversations,Ernest Hemingway,"Hemingway, Ernest",,"=""1612195229""","=""9781612195223""",0,4.10,Melville House,Paperback,96,2015,2015,,2023/05/14,to-read,to-read (#657),to-read,,,,0,0
55648673,Short Stories in German for Intermediate Learners,Olly Richards,"Richards, Olly",,"=""152936163X""","=""9781529361636""",0,4.01,Teach Yourself,Paperback,224,2021,2021,2023/05/11,2023/02/26,,,read,,,,1,0
16527,Daughter of Fortune,Isabel Allende,"Allende, Isabel",,"=""0061120251""","=""9780061120251""",0,3.95,Harper Perennial,Paperback,432,2006,1998,2023/05/08,2023/05/03,,,read,,,,1,0
826845,The Chrysalids,John Wyndham,"Wyndham, John",,"=""""","=""""",0,3.93,Penguin Books,Mass Market Paperback,200,1977,1955,,2023/05/06,to-read,to-read (#656),to-read,,,,0,0
29044,The Secret History,Donna Tartt,"Tartt, Donna",,"=""1400031702""","=""9781400031702""",0,4.15,Vintage Books,Paperback,559,2004,1992,,2023/05/06,to-read,to-read (#655),to-read,,,,0,0
100247,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Rolf Potts,"Potts, Rolf",Timothy Ferriss,"=""0812992180""","=""9780812992182""",0,3.94,Villard Books,Paperback,205,2002,2002,,2023/05/06,to-read,to-read (#654),to-read,,,,0,0
26195941,The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,Shoshana Zuboff,"Zuboff, Shoshana",,"=""1610395697""","=""9781610395694""",0,4.05,PublicAffairs,Hardcover,691,2019,2018,,2023/05/06,to-read,to-read (#653),to-read,,,,0,0
30186948,Think and Grow Rich,Napoleon Hill,"Hill, Napoleon","Bill Hartley, Ann Hartley, Ben Holden-Crowther, Muhammad Ghous Siddiqui","=""""","=""""",0,4.16,,Paperback,233,2016,1937,,2023/05/06,to-read,to-read (#652),to-read,,,,0,0
35056823,L'Ordre du jour,Éric Vuillard,"Vuillard, Éric",,"=""""","=""""",0,3.91,Actes Sud,Kindle Edition,138,2017,2017,2023/05/02,2023/04/23,,,read,,,,1,0
39461697,Prüfungstraining. Zerifikat Deutsch (telc Deutsch B1),Dieter Maenner,"Maenner, Dieter",Hans-Jürgen Heringer,"=""""","=""""",0,4.00,Cornelsen,Paperback,192,2017,,2023/05/01,2023/03/05,,,read,,,,1,0
50085885,"Lizbona. Miasto, które przytula",Weronika Wawrzkowicz-Nasternak,"Wawrzkowicz-Nasternak, Weronika",Marta Stacewicz-Paixão,"=""8380323742""","=""9788380323742""",0,3.41,Wielka Litera,Paperback,388,2019,2019,2023/04/30,2023/04/26,,,read,,,,1,0
10010070,Begegnungen Deutsch als Fremdsprache B1+,Anne Buscha,"Buscha, Anne",Szilvia Szita,"=""3929526921""","=""9783941323179""",0,4.03,Schubert - Verlag ,Paperback,152,2008,,2023/04/30,2022/12/11,,,read,,,,1,0
75401438,Mit erfolg telc b1 test + cd neu,Various,"Various, Various",,"=""3126768296""","=""9783126768290""",0,5.00,Ernst Klett Sprachen GmbH,Paperback,88,2020,,2023/04/30,2023/04/29,,,read,,,,1,0
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",0,4.31,Scribner,Hardcover,531,2014,2014,,2023/04/26,to-read,to-read (#651),to-read,,,,0,0
13338496,Dziennik 1953-1956,Witold Gombrowicz,"Gombrowicz, Witold",,"=""8308010059""","=""""",0,4.36,Wydawnictwo Literackie,Hardcover,371,1986,1970,2023/04/26,2023/04/10,,,read,,,,1,0
944073,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575079797""","=""9780575079793""",0,4.22,Gollancz,Paperback,515,2007,2006,2023/04/23,2022/12/10,,,read,,,,1,0
77784076,"Niechciani, nielubiani. Warszawski rap lat 90.",Filip Kalinowski,"Kalinowski, Filip",,"=""8381916550""","=""9788381916554""",0,3.66,Czarne,Hardcover,288,2023,2023,2023/04/14,2023/04/10,,,read,,,,1,0
57945316,Babel,R.F. Kuang,"Kuang, R.F.",,"=""0063021420""","=""9780063021426""",0,4.14,Harper Voyager,Hardcover,544,2022,2022,,2023/04/12,to-read,to-read (#650),to-read,,,,0,0
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""0765387565""","=""9780765387561""",0,4.16,Tor Books,Hardcover,448,2020,2020,,2023/04/12,to-read,to-read (#649),to-read,,,,0,0
60551,The Book: On the Taboo Against Knowing Who You Are,Alan W. Watts,"Watts, Alan W.",,"=""0679723005""","=""9780679723004""",0,4.21,Vintage,Mass Market Paperback,163,1989,1966,,2023/04/11,to-read,to-read (#648),to-read,,,,0,0
551520,The Wisdom of Insecurity: A Message for an Age of Anxiety,Alan W. Watts,"Watts, Alan W.",,"=""0394704681""","=""9780394704685""",0,4.14,Vintage,Paperback,152,1968,1951,,2023/04/11,to-read,to-read (#647),to-read,,,,0,0
15584,Cosmos,Witold Gombrowicz,"Gombrowicz, Witold",Danuta Borchardt,"=""0300108486""","=""9780300108484""",0,4.01,Yale University Press,Hardcover,189,2005,1965,2023/04/10,2016/12/02,,,read,,,,1,0
6194,Waiting for the Barbarians,J.M. Coetzee,"Coetzee, J.M.",,"=""0140283358""","=""9780140283358""",0,3.93,Penguin Books,Paperback,152,1999,1980,,2023/04/09,to-read,to-read (#646),to-read,,,,0,0
